provinsi,gini_index,tahun
ACEH,0.333,2016
SUMATERA UTARA,0.319,2016
SUMATERA BARAT,0.331,2016
RIAU,0.347,2016
JAMBI,0.349,2016
SUMATERA SELATAN,0.348,2016
BENGKULU,0.357,2016
LAMPUNG,0.364,2016
KEP. BANGKA BELITUNG,0.275,2016
KEP. RIAU,0.354,2016
DKI JAKARTA,0.411,2016
JAWA BARAT,0.413,2016
JAWA TENGAH,0.366,2016
DI YOGYAKARTA,0.42,2016
JAWA TIMUR,0.402,2016
BANTEN,0.394,2016
BALI,0.366,2016
NUSA TENGGARA BARAT,0.359,2016
NUSA TENGGARA TIMUR,0.336,2016
KALIMANTAN BARAT,0.341,2016
KALIMANTAN TENGAH,0.33,2016
KALIMANTAN SELATAN,0.332,2016
KALIMANTAN TIMUR,0.315,2016
KALIMANTAN UTARA,0.3,2016
SULAWESI UTARA,0.386,2016
SULAWESI TENGAH,0.362,2016
SULAWESI SELATAN,0.426,2016
SULAWESI TENGGARA,0.402,2016
GORONTALO,0.419,2016
SULAWESI BARAT,0.364,2016
MALUKU,0.348,2016
MALUKU UTARA,0.286,2016
PAPUA BARAT,0.373,2016
PAPUA BARAT DAYA,-,2016
PAPUA,0.39,2016
PAPUA SELATAN,-,2016
PAPUA TENGAH,-,2016
PAPUA PEGUNUNGAN,-,2016
INDONESIA,0.397,2016
ACEH,0.329,2017
SUMATERA UTARA,0.315,2017
SUMATERA BARAT,0.318,2017
RIAU,0.325,2017
JAMBI,0.335,2017
SUMATERA SELATAN,0.361,2017
BENGKULU,0.351,2017
LAMPUNG,0.334,2017
KEP. BANGKA BELITUNG,0.282,2017
KEP. RIAU,0.334,2017
DKI JAKARTA,0.413,2017
JAWA BARAT,0.403,2017
JAWA TENGAH,0.365,2017
DI YOGYAKARTA,0.432,2017
JAWA TIMUR,0.396,2017
BANTEN,0.382,2017
BALI,0.384,2017
NUSA TENGGARA BARAT,0.371,2017
NUSA TENGGARA TIMUR,0.359,2017
KALIMANTAN BARAT,0.327,2017
KALIMANTAN TENGAH,0.343,2017
KALIMANTAN SELATAN,0.347,2017
KALIMANTAN TIMUR,0.33,2017
KALIMANTAN UTARA,0.308,2017
SULAWESI UTARA,0.396,2017
SULAWESI TENGAH,0.355,2017
SULAWESI SELATAN,0.407,2017
SULAWESI TENGGARA,0.394,2017
GORONTALO,0.43,2017
SULAWESI BARAT,0.354,2017
MALUKU,0.343,2017
MALUKU UTARA,0.317,2017
PAPUA BARAT,0.39,2017
PAPUA BARAT DAYA,-,2017
PAPUA,0.397,2017
PAPUA SELATAN,-,2017
PAPUA TENGAH,-,2017
PAPUA PEGUNUNGAN,-,2017
INDONESIA,0.393,2017
ACEH,0.325,2018
SUMATERA UTARA,0.318,2018
SUMATERA BARAT,0.321,2018
RIAU,0.327,2018
JAMBI,0.334,2018
SUMATERA SELATAN,0.358,2018
BENGKULU,0.362,2018
LAMPUNG,0.346,2018
KEP. BANGKA BELITUNG,0.281,2018
KEP. RIAU,0.33,2018
DKI JAKARTA,0.394,2018
JAWA BARAT,0.407,2018
JAWA TENGAH,0.378,2018
DI YOGYAKARTA,0.441,2018
JAWA TIMUR,0.379,2018
BANTEN,0.385,2018
BALI,0.377,2018
NUSA TENGGARA BARAT,0.372,2018
NUSA TENGGARA TIMUR,0.351,2018
KALIMANTAN BARAT,0.339,2018
KALIMANTAN TENGAH,0.342,2018
KALIMANTAN SELATAN,0.344,2018
KALIMANTAN TIMUR,0.342,2018
KALIMANTAN UTARA,0.303,2018
SULAWESI UTARA,0.394,2018
SULAWESI TENGAH,0.346,2018
SULAWESI SELATAN,0.397,2018
SULAWESI TENGGARA,0.409,2018
GORONTALO,0.403,2018
SULAWESI BARAT,0.37,2018
MALUKU,0.343,2018
MALUKU UTARA,0.328,2018
PAPUA BARAT,0.394,2018
PAPUA BARAT DAYA,-,2018
PAPUA,0.384,2018
PAPUA SELATAN,-,2018
PAPUA TENGAH,-,2018
PAPUA PEGUNUNGAN,-,2018
INDONESIA,0.389,2018
ACEH,0.319,2019
SUMATERA UTARA,0.317,2019
SUMATERA BARAT,0.306,2019
RIAU,0.334,2019
JAMBI,0.321,2019
SUMATERA SELATAN,0.331,2019
BENGKULU,0.34,2019
LAMPUNG,0.329,2019
KEP. BANGKA BELITUNG,0.269,2019
KEP. RIAU,0.341,2019
DKI JAKARTA,0.394,2019
JAWA BARAT,0.402,2019
JAWA TENGAH,0.361,2019
DI YOGYAKARTA,0.423,2019
JAWA TIMUR,0.37,2019
BANTEN,0.365,2019
BALI,0.366,2019
NUSA TENGGARA BARAT,0.379,2019
NUSA TENGGARA TIMUR,0.356,2019
KALIMANTAN BARAT,0.327,2019
KALIMANTAN TENGAH,0.336,2019
KALIMANTAN SELATAN,0.334,2019
KALIMANTAN TIMUR,0.33,2019
KALIMANTAN UTARA,0.295,2019
SULAWESI UTARA,0.367,2019
SULAWESI TENGAH,0.327,2019
SULAWESI SELATAN,0.389,2019
SULAWESI TENGGARA,0.399,2019
GORONTALO,0.407,2019
SULAWESI BARAT,0.365,2019
MALUKU,0.324,2019
MALUKU UTARA,0.312,2019
PAPUA BARAT,0.386,2019
PAPUA BARAT DAYA,-,2019
PAPUA,0.394,2019
PAPUA SELATAN,-,2019
PAPUA TENGAH,-,2019
PAPUA PEGUNUNGAN,-,2019
INDONESIA,0.382,2019
ACEH,0.323,2020
SUMATERA UTARA,0.316,2020
SUMATERA BARAT,0.305,2020
RIAU,0.329,2020
JAMBI,0.32,2020
SUMATERA SELATAN,0.339,2020
BENGKULU,0.334,2020
LAMPUNG,0.327,2020
KEP. BANGKA BELITUNG,0.262,2020
KEP. RIAU,0.339,2020
DKI JAKARTA,0.399,2020
JAWA BARAT,0.403,2020
JAWA TENGAH,0.362,2020
DI YOGYAKARTA,0.434,2020
JAWA TIMUR,0.366,2020
BANTEN,0.363,2020
BALI,0.369,2020
NUSA TENGGARA BARAT,0.376,2020
NUSA TENGGARA TIMUR,0.354,2020
KALIMANTAN BARAT,0.317,2020
