provinsi,index_kemiskinan,tahun
ACEH,3.48,2016
SUMATERA UTARA,1.77,2016
SUMATERA BARAT,1.1,2016
RIAU,1.36,2016
JAMBI,1.47,2016
SUMATERA SELATAN,2.02,2016
BENGKULU,3.14,2016
LAMPUNG,2.63,2016
KEP. BANGKA BELITUNG,0.67,2016
KEP. RIAU,0.89,2016
DKI JAKARTA,0.46,2016
JAWA BARAT,1.49,2016
JAWA TENGAH,2.37,2016
DI YOGYAKARTA,2.3,2016
JAWA TIMUR,1.99,2016
BANTEN,0.8,2016
BALI,0.51,2016
NUSA TENGGARA BARAT,3,2016
NUSA TENGGARA TIMUR,4.69,2016
KALIMANTAN BARAT,1.3,2016
KALIMANTAN TENGAH,0.86,2016
KALIMANTAN SELATAN,0.71,2016
KALIMANTAN TIMUR,1.04,2016
KALIMANTAN UTARA,0.78,2016
SULAWESI UTARA,1.53,2016
SULAWESI TENGAH,2.72,2016
SULAWESI SELATAN,1.83,2016
SULAWESI TENGGARA,2.76,2016
GORONTALO,4.12,2016
SULAWESI BARAT,1.95,2016
MALUKU,3.63,2016
MALUKU UTARA,0.73,2016
PAPUA BARAT,7.21,2016
PAPUA BARAT DAYA,-,2016
PAPUA,9.37,2016
PAPUA SELATAN,-,2016
PAPUA TENGAH,-,2016
PAPUA PEGUNUNGAN,-,2016
INDONESIA,1.94,2016
ACEH,2.98,2017
SUMATERA UTARA,1.71,2017
SUMATERA BARAT,1,2017
RIAU,1.32,2017
JAMBI,1.28,2017
SUMATERA SELATAN,2.24,2017
BENGKULU,2.85,2017
LAMPUNG,2.16,2017
KEP. BANGKA BELITUNG,0.49,2017
KEP. RIAU,0.97,2017
DKI JAKARTA,0.49,2017
JAWA BARAT,1.45,2017
JAWA TENGAH,2.21,2017
DI YOGYAKARTA,2.19,2017
JAWA TIMUR,1.87,2017
BANTEN,0.86,2017
BALI,0.68,2017
NUSA TENGGARA BARAT,3.13,2017
NUSA TENGGARA TIMUR,4.34,2017
KALIMANTAN BARAT,1.23,2017
KALIMANTAN TENGAH,0.84,2017
KALIMANTAN SELATAN,0.72,2017
KALIMANTAN TIMUR,0.89,2017
KALIMANTAN UTARA,1.21,2017
SULAWESI UTARA,1.37,2017
SULAWESI TENGAH,2.55,2017
SULAWESI SELATAN,1.72,2017
SULAWESI TENGGARA,1.87,2017
GORONTALO,3.68,2017
SULAWESI BARAT,1.88,2017
MALUKU,3.5,2017
MALUKU UTARA,0.81,2017
PAPUA BARAT,6.74,2017
PAPUA BARAT DAYA,-,2017
PAPUA,7.5,2017
PAPUA SELATAN,-,2017
PAPUA TENGAH,-,2017
PAPUA PEGUNUNGAN,-,2017
INDONESIA,1.83,2017
ACEH,2.85,2018
SUMATERA UTARA,1.56,2018
SUMATERA BARAT,1.04,2018
RIAU,1.2,2018
JAMBI,1.3,2018
SUMATERA SELATAN,2.33,2018
BENGKULU,2.59,2018
LAMPUNG,2.04,2018
KEP. BANGKA BELITUNG,0.69,2018
KEP. RIAU,1,2018
DKI JAKARTA,0.51,2018
JAWA BARAT,1.32,2018
JAWA TENGAH,1.85,2018
DI YOGYAKARTA,2.07,2018
JAWA TIMUR,1.95,2018
BANTEN,0.82,2018
BALI,0.69,2018
NUSA TENGGARA BARAT,2.82,2018
NUSA TENGGARA TIMUR,3.91,2018
KALIMANTAN BARAT,1.18,2018
KALIMANTAN TENGAH,0.81,2018
KALIMANTAN SELATAN,0.69,2018
KALIMANTAN TIMUR,0.85,2018
KALIMANTAN UTARA,1.1,2018
SULAWESI UTARA,1.27,2018
SULAWESI TENGAH,2.64,2018
SULAWESI SELATAN,1.55,2018
SULAWESI TENGGARA,2.04,2018
GORONTALO,3.06,2018
SULAWESI BARAT,1.76,2018
MALUKU,3.47,2018
MALUKU UTARA,0.89,2018
PAPUA BARAT,6.29,2018
PAPUA BARAT DAYA,-,2018
PAPUA,6.73,2018
PAPUA SELATAN,-,2018
PAPUA TENGAH,-,2018
PAPUA PEGUNUNGAN,-,2018
INDONESIA,1.71,2018
ACEH,2.64,2019
SUMATERA UTARA,1.37,2019
SUMATERA BARAT,0.94,2019
RIAU,1.13,2019
JAMBI,1.23,2019
SUMATERA SELATAN,2.12,2019
BENGKULU,2.48,2019
LAMPUNG,1.93,2019
KEP. BANGKA BELITUNG,0.51,2019
KEP. RIAU,0.69,2019
DKI JAKARTA,0.5,2019
JAWA BARAT,1.09,2019
JAWA TENGAH,1.53,2019
DI YOGYAKARTA,1.74,2019
JAWA TIMUR,1.8,2019
BANTEN,0.76,2019
BALI,0.53,2019
NUSA TENGGARA BARAT,2.33,2019
NUSA TENGGARA TIMUR,4.15,2019
KALIMANTAN BARAT,1.14,2019
KALIMANTAN TENGAH,0.7,2019
KALIMANTAN SELATAN,0.7,2019
KALIMANTAN TIMUR,0.91,2019
KALIMANTAN UTARA,1.16,2019
SULAWESI UTARA,1.18,2019
SULAWESI TENGAH,2.33,2019
SULAWESI SELATAN,1.45,2019
SULAWESI TENGGARA,2.23,2019
GORONTALO,2.64,2019
SULAWESI BARAT,1.75,2019
MALUKU,3.32,2019
MALUKU UTARA,0.89,2019
PAPUA BARAT,5.6,2019
PAPUA BARAT DAYA,-,2019
PAPUA,7.17,2019
PAPUA SELATAN,-,2019
PAPUA TENGAH,-,2019
PAPUA PEGUNUNGAN,-,2019
INDONESIA,1.55,2019
ACEH,2.72,2020
SUMATERA UTARA,1.51,2020
SUMATERA BARAT,0.92,2020
RIAU,1.14,2020
JAMBI,1.1,2020
SUMATERA SELATAN,2.08,2020
BENGKULU,2.4,2020
LAMPUNG,1.9,2020
KEP. BANGKA BELITUNG,0.6,2020
KEP. RIAU,1.11,2020
DKI JAKARTA,0.59,2020
JAWA BARAT,1.13,2020
JAWA TENGAH,1.72,2020
DI YOGYAKARTA,1.94,2020
JAWA TIMUR,1.82,2020
BANTEN,0.99,2020
BALI,0.52,2020
NUSA TENGGARA BARAT,2.58,2020
NUSA TENGGARA TIMUR,4.02,2020
KALIMANTAN BARAT,1.01,2020
KALIMANTAN TENGAH,0.8,2020
KALIMANTAN SELATAN,0.7,2020
KALIMANTAN TIMUR,1.02,2020
KALIMANTAN UTARA,0.84,2020
SULAWESI UTARA,1.14,2020
SULAWESI TENGAH,2.58,2020
SULAWESI SELATAN,1.53,2020
SULAWESI TENGGARA,2.04,2020
GORONTALO,2.67,2020
SULAWESI BARAT,1.89,2020
MALUKU,3.47,2020
MALUKU UTARA,0.94,2020
PAPUA BARAT,5.79,2020
PAPUA BARAT DAYA,-,2020
PAPUA,6.16,2020
PAPUA SELATAN,-,2020
PAPUA TENGAH,-,2020
PAPUA PEGUNUNGAN,-,2020
INDONESIA,1.61,2020
ACEH,2.86,2021
SUMATERA UTARA,1.52,2021
SUMATERA BARAT,1.04,2021
RIAU,1.06,2021
JAMBI,1.29,2021
SUMATERA SELATAN,2.26,2021
BENGKULU,2.57,2021
LAMPUNG,1.88,2021
KEP. BANGKA BELITUNG,0.61,2021
KEP. RIAU,1.07,2021
DKI JAKARTA,0.64,2021
JAWA BARAT,1.47,2021
JAWA TENGAH,1.91,2021
DI YOGYAKARTA,2.42,2021
JAWA TIMUR,1.84,2021
BANTEN,1.09,2021
BALI,0.68,2021
NUSA TENGGARA BARAT,2.24,2021
NUSA TENGGARA TIMUR,3.96,2021
KALIMANTAN BARAT,1.03,2021
KALIMANTAN TENGAH,0.71,2021
KALIMANTAN SELATAN,0.67,2021
KALIMANTAN TIMUR,1.22,2021
KALIMANTAN UTARA,0.87,2021
SULAWESI UTARA,1.24,2021
SULAWESI TENGAH,2.43,2021
SULAWESI SELATAN,1.49,2021
SULAWESI TENGGARA,2.16,2021
GORONTALO,2.87,2021
SULAWESI BARAT,1.76,2021
MALUKU,3.58,2021
MALUKU UTARA,0.97,2021
PAPUA BARAT,5.49,2021
PAPUA BARAT DAYA,-,2021
PAPUA,5.6,2021
PAPUA SELATAN,-,2021
PAPUA TENGAH,-,2021
PAPUA PEGUNUNGAN,-,2021
INDONESIA,1.71,2021
ACEH,2.49,2022
SUMATERA UTARA,1.36,2022
SUMATERA BARAT,0.8,2022
RIAU,1.1,2022
JAMBI,1.17,2022
SUMATERA SELATAN,1.96,2022
BENGKULU,2.43,2022
LAMPUNG,1.82,2022
KEP. BANGKA BELITUNG,0.6,2022
KEP. RIAU,1.05,2022
DKI JAKARTA,0.77,2022
JAWA BARAT,1.32,2022
JAWA TENGAH,1.77,2022
DI YOGYAKARTA,2.01,2022
JAWA TIMUR,1.62,2022
BANTEN,1.03,2022
BALI,0.62,2022
NUSA TENGGARA BARAT,2.49,2022
NUSA TENGGARA TIMUR,3.63,2022
KALIMANTAN BARAT,1.04,2022
KALIMANTAN TENGAH,0.91,2022
KALIMANTAN SELATAN,0.63,2022
KALIMANTAN TIMUR,0.99,2022
KALIMANTAN UTARA,0.89,2022
SULAWESI UTARA,1.15,2022
SULAWESI TENGAH,2.41,2022
SULAWESI SELATAN,1.36,2022
SULAWESI TENGGARA,1.82,2022
GORONTALO,3.04,2022
SULAWESI BARAT,2.21,2022
MALUKU,2.9,2022
MALUKU UTARA,0.91,2022
PAPUA BARAT,4.82,2022
PAPUA BARAT DAYA,-,2022
PAPUA,6.16,2022
PAPUA SELATAN,-,2022
PAPUA TENGAH,-,2022
PAPUA PEGUNUNGAN,-,2022
INDONESIA,1.59,2022
ACEH,2.76,2023
SUMATERA UTARA,1.26,2023
SUMATERA BARAT,0.82,2023
RIAU,1,2023
JAMBI,1.19,2023
SUMATERA SELATAN,1.72,2023
BENGKULU,2.14,2023
LAMPUNG,1.64,2023
KEP. BANGKA BELITUNG,0.63,2023
KEP. RIAU,0.82,2023
DKI JAKARTA,0.69,2023
JAWA BARAT,1.16,2023
JAWA TENGAH,1.75,2023
DI YOGYAKARTA,1.72,2023
JAWA TIMUR,1.63,2023
BANTEN,1.2,2023
BALI,0.55,2023
NUSA TENGGARA BARAT,2.38,2023
NUSA TENGGARA TIMUR,3.33,2023
KALIMANTAN BARAT,1.03,2023
KALIMANTAN TENGAH,0.66,2023
KALIMANTAN SELATAN,0.61,2023
KALIMANTAN TIMUR,0.77,2023
KALIMANTAN UTARA,0.64,2023
SULAWESI UTARA,1.09,2023
