provinsi,tingkat_pengangguran,tahun
ACEH,7.57,2016
SUMATERA UTARA,5.84,2016
SUMATERA BARAT,5.09,2016
RIAU,7.43,2016
JAMBI,4,2016
SUMATERA SELATAN,4.31,2016
BENGKULU,3.3,2016
LAMPUNG,4.62,2016
KEP. BANGKA BELITUNG,2.6,2016
KEP. RIAU,7.69,2016
DKI JAKARTA,6.12,2016
JAWA BARAT,8.89,2016
JAWA TENGAH,4.63,2016
DI YOGYAKARTA,2.72,2016
JAWA TIMUR,4.21,2016
BANTEN,8.92,2016
BALI,1.89,2016
NUSA TENGGARA BARAT,3.94,2016
NUSA TENGGARA TIMUR,3.25,2016
KALIMANTAN BARAT,4.23,2016
KALIMANTAN TENGAH,4.82,2016
KALIMANTAN SELATAN,5.45,2016
KALIMANTAN TIMUR,7.95,2016
KALIMANTAN UTARA,5.23,2016
SULAWESI UTARA,6.18,2016
SULAWESI TENGAH,3.29,2016
SULAWESI SELATAN,4.8,2016
SULAWESI TENGGARA,2.72,2016
GORONTALO,2.76,2016
SULAWESI BARAT,3.33,2016
MALUKU,7.05,2016
MALUKU UTARA,4.01,2016
PAPUA BARAT,7.46,2016
PAPUA BARAT DAYA,-,2016
PAPUA,3.35,2016
PAPUA SELATAN,-,2016
PAPUA TENGAH,-,2016
PAPUA PEGUNUNGAN,-,2016
INDONESIA,5.61,2016
ACEH,6.57,2017
SUMATERA UTARA,5.6,2017
SUMATERA BARAT,5.58,2017
RIAU,6.22,2017
JAMBI,3.87,2017
SUMATERA SELATAN,4.39,2017
BENGKULU,3.74,2017
LAMPUNG,4.33,2017
KEP. BANGKA BELITUNG,3.78,2017
KEP. RIAU,7.16,2017
DKI JAKARTA,7.14,2017
JAWA BARAT,8.22,2017
JAWA TENGAH,4.57,2017
DI YOGYAKARTA,3.02,2017
JAWA TIMUR,4,2017
BANTEN,9.28,2017
BALI,1.48,2017
NUSA TENGGARA BARAT,3.32,2017
NUSA TENGGARA TIMUR,3.27,2017
KALIMANTAN BARAT,4.36,2017
KALIMANTAN TENGAH,4.23,2017
KALIMANTAN SELATAN,4.77,2017
KALIMANTAN TIMUR,6.91,2017
KALIMANTAN UTARA,5.54,2017
SULAWESI UTARA,7.18,2017
SULAWESI TENGAH,3.81,2017
SULAWESI SELATAN,5.61,2017
